study,yi,vi,time,time_wk,time_wthn,time_btw
1,1.680745626,0.208171267,0,0,-1,1
1,4.122056714,0.480602915,0,0,-1,1
1,2.600443308,0.283890488,1,1,0,1
1,3.45719391,0.383695956,1,1,0,1
1,1.546292936,0.199827343,2,2,1,1
1,3.071522819,0.335274085,2,2,1,1
2,0.219537234,0.080481966,0,0,-1,1
2,3.545027178,0.205672177,1,2,0,1
2,4.454426725,0.278419174,2,4,1,1
3,0.624126035,0.114087493,0,0,-1,1
3,0.046597177,0.105584125,0,0,-1,1
3,0.30581092,0.101169004,0,0,-1,1
3,1.479993,0.138423249,1,2,0,1
3,1.200320185,0.124513036,1,2,0,1
3,1.482508667,0.127472899,1,2,0,1
3,1.053687345,0.123827003,2,4,1,1
3,0.638436368,0.110918727,2,4,1,1
3,0.998110086,0.112452797,2,4,1,1
4,0.128555335,0.167010968,0,0,-1,1
4,0.556431181,0.124339802,0,0,-1,1
4,-0.222649337,0.167699432,0,0,-1,1
4,1.363530855,0.205400342,1,3,0,1
4,1.160725169,0.137643228,1,3,0,1
4,1.139968041,0.193740149,1,3,0,1
4,1.125999561,0.193080729,2,6,1,1
4,0.77688947,0.128108284,2,6,1,1
4,0.994787163,0.187283365,2,6,1,1
5,0.147415627,0.154264065,0,0,-2,2
5,-0.249384998,0.155042171,0,0,-2,2
5,-0.024375352,0.15385758,0,0,-2,2
5,1.320524141,0.187380462,1,4,-1,2
5,0.959518987,0.171551475,1,4,-1,2
5,0.641599425,0.161762497,1,4,-1,2
5,1.28242626,0.185473406,2,6,0,2
5,1.32256611,0.187484252,3,8,1,2
5,2.150484242,0.242780432,4,10,2,2
5,1.202424296,0.181650465,2,6,0,2
5,1.202868268,0.181671001,3,8,1,2
5,2.235960095,0.249990722,4,10,2,2
5,1.214425723,0.182208266,2,6,0,2
5,0.934354475,0.170634967,3,8,1,2
5,1.448138687,0.194175109,4,10,2,2
6,0.208431962,0.112058496,0,0,-0.5,0.5
6,1.169058403,0.130437019,0,0,-0.5,0.5
6,0.223349975,0.112147959,0,0,-0.5,0.5
6,0.313165599,0.119089304,0,0,-0.5,0.5
6,0.29463818,0.118923701,0,0,-0.5,0.5
6,0.456746787,0.120714965,0,0,-0.5,0.5
6,0.853754276,0.121578669,1,4,0.5,0.5
6,0.749260728,0.119252214,1,4,0.5,0.5
6,1.743612525,0.153679895,1,4,0.5,0.5
6,-0.170742522,0.11807578,1,4,0.5,0.5
6,-0.35940398,0.119546636,1,4,0.5,0.5
6,0.638906428,0.123650021,1,4,0.5,0.5
7,-0.309509835,0.07237512,0,0,-1,1
7,-0.078858086,0.072807855,0,0,-1,1
7,0.955452183,0.079670589,1,3,0,1
7,0.721413064,0.077482566,1,3,0,1
7,1.531491811,0.092461467,2,6,1,1
7,0.973920748,0.081374247,2,6,1,1
8,-0.104310884,0.048265314,0,0,-1,1
8,0.235274313,0.048533226,0,0,-1,1
8,-0.109648728,0.048272194,0,0,-1,1
8,-0.005050436,0.048199921,0,0,-1,1
8,-0.116576739,0.046615809,0,0,-1,1
8,0.38437516,0.047395775,0,0,-1,1
8,-0.19424288,0.046756159,0,0,-1,1
8,0.298796712,0.047055863,0,0,-1,1
8,0.452113654,0.049431134,1,5,0,1
8,0.660383765,0.050826917,1,5,0,1
8,0.268141895,0.048632901,1,5,0,1
8,0.131849375,0.048304492,1,5,0,1
8,0.078181842,0.048236589,2,10,1,1
8,0.253819525,0.048587866,2,10,1,1
8,-0.33866907,0.048890712,2,10,1,1
8,-0.057499062,0.048219684,2,10,1,1
8,0.482489086,0.04789026,1,5,0,1
8,0.278313186,0.046987135,1,5,0,1
8,0.104333341,0.046600084,1,5,0,1
8,0.252629714,0.046907853,1,5,0,1
8,0.107387854,0.046603844,2,10,1,1
8,0.65193542,0.049007842,2,10,1,1
8,0.385801361,0.047402161,2,10,1,1
8,0.134147432,0.046641422,2,10,1,1
9,-0.200819772,0.106086195,0,0,-1,1
9,-0.323599428,0.106933405,0,0,-1,1
9,0.20522453,0.108756285,0,0,-1,1
9,0.125135284,0.10839874,0,0,-1,1
9,0.52479715,0.109179398,1,3,0,1
9,0.187794555,0.106019592,1,3,0,1
9,-0.305986407,0.109452373,1,3,0,1
9,0.559333771,0.112414895,1,3,0,1
9,0.115353581,0.10573064,2,6,1,1
9,0.929787776,0.116930625,2,6,1,1
9,0.385882708,0.110199371,2,6,1,1
9,-0.01076616,0.108188701,2,6,1,1
10,-0.329110609,0.111582748,0,0,-1,1
10,-0.365775794,0.111927047,0,0,-1,1
10,-0.011305024,0.110120775,1,3,0,1
10,-0.35928665,0.111863465,1,3,0,1
10,0,0.110119048,2,6,1,1
10,-1.278578236,0.13221043,2,6,1,1
11,0.099402187,0.02623092,0,0,-0.5,0.5
11,-0.433362431,0.029335754,0,0,-0.5,0.5
11,0.080973873,0.026410457,0,0,-0.5,0.5
11,0.013501063,0.029907631,0,0,-0.5,0.5
11,0.210102481,0.026342888,1,4,0.5,0.5
11,-0.093170978,0.028696032,1,4,0.5,0.5
11,0.43722562,0.027017725,1,4,0.5,0.5
11,0.230014117,0.030102906,1,4,0.5,0.5
12,-0.178201891,0.10140705,0,0,-1,1
12,-0.065918934,0.099086808,0,0,-1,1
12,-0.149146308,0.101288159,1,3,0,1
12,-0.547191546,0.102685263,1,3,0,1
12,-0.173054138,0.101384448,2,6,1,1
12,-0.278759953,0.099981464,2,6,1,1
13,0.794979633,0.19618165,0,0,-1,1
13,0.172178359,0.16844978,0,0,-1,1
13,0.421556144,0.185857036,1,5,0,1
13,0.461227861,0.172264067,1,5,0,1
13,1.590522697,0.239312783,2,10,1,1
13,1.000670346,0.188693442,2,10,1,1
14,-0.352435857,0.135998755,0,0,-0.5,0.5
14,0.47260979,0.137651238,1,27,0.5,0.5
15,-0.237407413,0.130075736,0,0,-0.5,0.5
15,-0.168763078,0.133808016,0,0,-0.5,0.5
15,-0.348552268,0.131126162,1,6,0.5,0.5
15,-0.71844914,0.141936153,1,6,0.5,0.5
16,0.452881097,0.149495856,0,0,-1,1
16,0.299601029,0.135424584,0,0,-1,1
16,0.798314839,0.157213808,1,2,0,1
16,0.86819611,0.146491313,1,2,0,1
16,0.897354597,0.160212713,2,5,1,1
16,0.861960588,0.146311506,2,5,1,1
17,-0.658499531,0.081206476,0,0,-1.5,1.5
17,-0.532236166,0.081480913,0,0,-1.5,1.5
17,-0.570890593,0.081898959,0,0,-1.5,1.5
17,-0.749679749,0.084213701,0,0,-1.5,1.5
17,-0.38350913,0.08198609,0,0,-1.5,1.5
17,-0.033628301,0.077047911,1,3,-0.5,1.5
17,0.293133326,0.079546127,1,3,-0.5,1.5
17,0.402648299,0.080293171,1,3,-0.5,1.5
17,0.437523248,0.080580435,1,3,-0.5,1.5
17,0.5579224,0.083628072,1,3,-0.5,1.5
17,-0.285790253,0.077822384,2,5,0.5,1.5
17,-0.019760243,0.078707532,2,5,0.5,1.5
17,-0.200968999,0.07909967,2,5,0.5,1.5
17,0.151655435,0.078929188,2,5,0.5,1.5
17,0.125360162,0.08067245,2,5,0.5,1.5
17,0.188322329,0.07737805,3,8,1.5,1.5
17,-0.24095314,0.079272904,3,8,1.5,1.5
17,0.200726612,0.079098715,3,8,1.5,1.5
17,-0.015193658,0.078705967,3,8,1.5,1.5
17,0.335968022,0.081644043,3,8,1.5,1.5
18,0.474585312,0.154170948,0,0,-0.5,0.5
18,1.43629659,0.188202739,1,8,0.5,0.5
19,-0.43705383,0.09037795,0,0,-0.5,0.5
19,-0.649284413,0.092830655,0,0,-0.5,0.5
19,-0.053712258,0.088376556,0,0,-0.5,0.5
19,-0.264881155,0.089092269,0,0,-0.5,0.5
19,0.328969028,0.089497148,1,13,0.5,0.5
19,0.17556583,0.088673773,1,13,0.5,0.5
19,0.421012917,0.090231523,1,13,0.5,0.5
19,-0.411276117,0.090145312,1,13,0.5,0.5
20,-0.544895591,0.20742278,0,0,-0.5,0.5
20,-0.34118049,0.202910103,1,6,0.5,0.5
21,0.070516068,0.065773517,0,0,-1,1
21,-0.177978266,0.063759463,0,0,-1,1
21,1.257084579,0.078685723,1,4,0,1
21,0.639912254,0.066757967,1,4,0,1
21,1.655982945,0.08821046,2,7,1,1
21,0.853404877,0.069288222,2,7,1,1
22,-0.389750855,0.090973556,0,0,-1.5,1.5
22,-0.816411437,0.098671486,0,0,-1.5,1.5
