person_id,item_id,item_level,item_type,y,gender
1,1,3.812769631,dictation,0.993889516,MALE
1,2,9.980779778,ctest,0.711864407,MALE
1,3,10,audio_vocab,0.824165656,MALE
1,4,4.346819046,ctest,0.9,MALE
1,5,8.123,text_vocab,0.915733149,MALE
1,6,0.426555525,dictation,0.993889516,MALE
1,7,7.491,text_vocab,0.975507821,MALE
1,8,6.14381174,ctest,0.8,MALE
1,9,8.859693902,dictation,0.024772578,MALE
1,10,2.115158894,dictation,0.993889516,MALE
1,11,6.00233872,elicited_speech,0.862095507,MALE
1,12,1.434,audio_vocab,0.836678836,MALE
1,13,7.630951328,dictation,1.00E-07,MALE
1,14,7.580243024,elicited_speech,0.743719049,MALE
1,15,6.518,audio_vocab,0.615412091,MALE
1,16,7.66424544,elicited_speech,0.916153143,MALE
1,17,3.148,text_vocab,0.910223855,MALE
1,18,9.927,text_vocab,0.877287487,MALE
1,19,5.947,audio_vocab,0.954711503,MALE
1,20,7.259,text_vocab,0.903615575,MALE
1,21,8.022,text_vocab,0.893671072,MALE
1,22,8.622568398,elicited_speech,0.906584024,MALE
1,23,7.91134448,dictation,1.42E-05,MALE
1,24,9.642,text_vocab,0.664902675,MALE
1,25,8.040999066,ctest,0.842105263,MALE
1,26,9.705,audio_vocab,0.836678836,MALE
1,27,9.667288316,ctest,0.854166667,MALE
1,28,0.721281463,ctest,0.692307692,MALE
1,29,5.767554627,elicited_speech,0.924880683,MALE
1,30,4.345,audio_vocab,0.954711503,MALE
1,31,7.556671064,elicited_speech,0.843894811,MALE
2,32,8.80459668,ctest,0.9999999,MALE
2,33,4.549802998,elicited_speech,0.9999999,MALE
2,34,9.705565704,ctest,0.9999999,MALE
2,35,8.872082713,dictation,0.993889516,MALE
2,36,5.062,audio_vocab,0.954711503,MALE
2,37,0.744,audio_vocab,0.957166214,MALE
2,38,1.030286206,dictation,0.993889516,MALE
2,39,9.8,text_vocab,0.97811438,MALE
2,40,2.520958881,ctest,0.9999999,MALE
2,41,8.793114844,dictation,0.657706343,MALE
2,42,9.750071839,ctest,0.894736842,MALE
2,43,3.608959371,dictation,0.769674624,MALE
2,44,9.852,text_vocab,0.919206801,MALE
2,45,10,audio_vocab,0.954711503,MALE
2,46,5.091,text_vocab,0.975507821,MALE
2,47,6.679931507,ctest,0.844444444,MALE
2,48,10,audio_vocab,0.954711503,MALE
2,49,7.68918486,elicited_speech,0.905831874,MALE
2,50,9.001849736,elicited_speech,0.754609774,MALE
2,51,8.931411792,elicited_speech,0.946465031,MALE
2,52,10,text_vocab,0.877358015,MALE
2,53,8.565483138,elicited_speech,0.967011417,MALE
2,54,9.68571876,ctest,0.9999999,MALE
2,55,8.922600971,elicited_speech,0.944267326,MALE
2,56,6.265,audio_vocab,0.835751363,MALE
2,57,8.270961043,dictation,7.22E-07,MALE
2,58,8.238,audio_vocab,0.796528832,MALE
2,59,8.277,text_vocab,0.976829842,MALE
2,60,5.383306166,dictation,0.993889516,MALE
2,61,9.027297961,elicited_speech,0.961845632,MALE
2,62,2.637,text_vocab,0.97811438,MALE
2,63,8.051,text_vocab,0.855309529,MALE
3,64,7.851,audio_vocab,0.836678836,FEMALE
3,65,9.883,audio_vocab,0.835751363,FEMALE
3,66,8.369,text_vocab,0.631692316,FEMALE
3,67,0.551068833,ctest,0.68,FEMALE
3,68,10,text_vocab,0.553959906,FEMALE
3,69,7.760171525,elicited_speech,0.790242983,FEMALE
3,70,2.325,audio_vocab,0.745446777,FEMALE
3,71,8.000579123,elicited_speech,0.749576131,FEMALE
3,72,3.379063928,ctest,0.8,FEMALE
3,6,0.426555525,dictation,0.993889516,FEMALE
3,73,8.141425979,dictation,0.000121,FEMALE
3,74,7.958802145,elicited_speech,0.795667098,FEMALE
3,75,6.557831035,elicited_speech,0.838900979,FEMALE
3,76,5.651793308,dictation,0.18284122,FEMALE
3,77,5.0974824,ctest,0.866666667,FEMALE
