Study,N,var1,var2,ri
1,82,L2R,L2DA,0.5
1,82,L2R,L2DF,NA
1,82,L2R,L2V,0.5
1,82,L2R,L2G,0.46
1,82,L2R,L2P,0.1
1,82,L2R,L2M,0.47
1,82,L2R,L2L,NA
1,82,L2DA,L2DF,NA
1,82,L2DA,L2V,0.51
1,82,L2DA,L2G,0.5
1,82,L2DA,L2P,0.34
1,82,L2DA,L2M,0.6
1,82,L2DA,L2L,NA
1,82,L2DF,L2V,NA
1,82,L2DF,L2G,NA
1,82,L2DF,L2P,NA
1,82,L2DF,L2M,NA
1,82,L2DF,L2L,NA
1,82,L2V,L2G,0.25
1,82,L2V,L2P,0.26
1,82,L2V,L2M,0.55
1,82,L2V,L2L,NA
1,82,L2G,L2P,0.35
1,82,L2G,L2M,0.44
1,82,L2G,L2L,NA
1,82,L2P,L2M,0.3
1,82,L2P,L2L,NA
1,82,L2M,L2L,NA
2,55,L2R,L2DA,NA
2,55,L2R,L2DF,NA
2,55,L2R,L2V,NA
2,55,L2R,L2G,0.31
2,55,L2R,L2P,NA
2,55,L2R,L2M,NA
2,55,L2R,L2L,NA
2,55,L2DA,L2DF,NA
2,55,L2DA,L2V,NA
2,55,L2DA,L2G,NA
2,55,L2DA,L2P,NA
2,55,L2DA,L2M,NA
2,55,L2DA,L2L,NA
2,55,L2DF,L2V,NA
2,55,L2DF,L2G,NA
2,55,L2DF,L2P,NA
2,55,L2DF,L2M,NA
2,55,L2DF,L2L,NA
2,55,L2V,L2G,NA
2,55,L2V,L2P,NA
2,55,L2V,L2M,NA
2,55,L2V,L2L,NA
2,55,L2G,L2P,NA
2,55,L2G,L2M,NA
2,55,L2G,L2L,NA
2,55,L2P,L2M,NA
2,55,L2P,L2L,NA
2,55,L2M,L2L,NA
3,366,L2R,L2DA,0.67
3,366,L2R,L2DF,NA
3,366,L2R,L2V,NA
3,366,L2R,L2G,NA
3,366,L2R,L2P,NA
3,366,L2R,L2M,NA
3,366,L2R,L2L,0.73
3,366,L2DA,L2DF,NA
3,366,L2DA,L2V,NA
3,366,L2DA,L2G,NA
3,366,L2DA,L2P,NA
3,366,L2DA,L2M,NA
3,366,L2DA,L2L,0.65
3,366,L2DF,L2V,NA
3,366,L2DF,L2G,NA
3,366,L2DF,L2P,NA
3,366,L2DF,L2M,NA
3,366,L2DF,L2L,NA
3,366,L2V,L2G,NA
3,366,L2V,L2P,NA
3,366,L2V,L2M,NA
