studyID,esID,yi,vi,x1,x2,post_id
A1,1,0.533733731,0.184018035,0,2,1
A1,2,0.296116599,0.169288598,0,2,1
A1,3,-0.155386371,0.182570482,8,2,2
A1,4,0.131015334,0.199389417,8,2,2
A2,5,3.444226818,0.297267222,0,2,1
A2,6,4.376457433,0.518175329,2,2,2
B1,7,0.874010738,0.137805837,0,1,1
B1,8,1.285396952,0.162680954,0,1,1
B1,9,1.381604308,0.158141211,0,1,1
B1,10,0.395443907,0.144786185,7,1,2
B1,11,0.684121545,0.159443291,7,1,2
B1,12,0.840489804,0.1600049,7,1,2
B2,13,0.685256679,0.197871297,0,1,1
B2,14,0.284456897,0.123268265,0,1,1
B2,15,0.932902039,0.22140674,0,1,1
B2,16,0.723050548,0.1975321,9,1,2
B2,17,0.260037973,0.122194926,9,1,2
B2,18,1.075747788,0.232994838,9,1,2
B3,19,2.235800489,0.489246138,0,1,1
B3,20,1.285650501,0.29269709,0,1,1
B3,21,0.741619418,0.219739219,0,1,1
B3,22,1.774779308,0.279077756,6,1,2
B3,23,1.527499294,0.243683452,6,1,2
B3,24,1.329490266,0.219634782,6,1,2
B3,25,1.749524376,0.326825891,24,1,3
B3,26,1.402530981,0.269150991,24,1,3
B3,27,0.93191144,0.209663808,24,1,3
B3,28,2.536171756,0.448541582,40,1,4
B3,29,1.982114352,0.330814745,40,1,4
B3,30,1.316569345,0.228922372,40,1,4
B4,31,0.659280404,0.118587921,4,3,1
B4,32,-0.493579287,0.144618221,4,3,1
B4,33,-0.515658588,0.120262424,4,3,1
B4,34,-0.697550641,0.127801305,4,3,1
B4,35,0.947639862,0.12756008,4,3,1
B4,36,0.011029969,0.123613312,4,3,1
B5,37,1.246187675,0.09239501,0,2,1
B5,38,0.809034722,0.080534983,0,2,1
B5,39,1.623845361,0.104431929,4,2,2
B5,40,0.922018218,0.081637299,4,2,2
B6,41,0.557805006,0.054823371,1,5,1
B6,42,0.593319027,0.053313434,1,5,1
B6,43,0.41560229,0.049321137,1,5,1
B6,44,-0.13246521,0.048761095,1,5,1
B6,45,0.392256498,0.050469199,1,5,1
B6,46,0.283194722,0.049025829,1,5,1
B6,47,0.192419522,0.049773469,1,5,1
B6,48,0.07492609,0.046788713,1,5,1
B6,49,0.202292637,0.048605022,2,5,2
B6,50,0.250094003,0.046999066,2,5,2
B6,51,0.026080476,0.048225775,2,5,2
B6,52,0.266946241,0.047508431,2,5,2
B6,53,-0.209151391,0.049242288,2,5,2
B6,54,0.663146847,0.050917626,2,5,2
B6,55,0.079862511,0.051859755,2,5,2
B6,56,0.131716753,0.048453903,2,5,2
D1,57,0.319183845,0.130078257,0,3,1
D1,58,0.284182247,0.11607179,0,3,1
D1,59,0.965836203,0.277772269,0,3,1
D1,60,0.262035634,0.175239482,0,3,1
D1,61,0.244790562,0.1277742,9,3,2
D1,62,0.048659745,0.123853086,9,3,2
D1,63,1.261932069,0.257619388,9,3,2
D1,64,0.298658832,0.140797911,9,3,2
D2,65,-0.024168502,0.110139824,0,1,1
D2,66,0.056862759,0.135576484,0,1,1
D2,67,0.354332656,0.119422529,8,1,2
D2,68,-0.660567454,0.11763939,8,1,2
D3,69,0.121189025,0.026367923,1,2,1
D3,70,0.371773794,0.027562077,1,2,1
D3,71,0.393664307,0.0293582,1,2,1
D3,72,0.231431157,0.030114592,1,2,1
E1,73,-0.015005115,0.139319113,0,3,1
E1,74,0.547737751,0.12163833,0,3,1
E1,75,-0.096980711,0.130469555,6,3,2
E1,76,0.23525278,0.118000372,6,3,2
E2,77,-0.01302163,0.237490609,0,3,1
E2,78,0.714488556,0.291588999,0,3,1
E2,79,1.885728811,0.492585233,4,3,2
E2,80,1.132933004,0.283074425,4,3,2
E3,81,1.093603367,0.173886147,1,35,1
F1,82,-0.130891968,0.132698955,1,,1
F1,83,-0.546790608,0.1532906,1,,1
F2,84,1.048502535,0.213118105,0,1,1
F2,85,1.160978919,0.201019175,0,1,1
F2,86,1.050774363,0.200295624,2,1,2
F2,87,0.988105134,0.173344643,2,1,2
G1,88,0.634801654,0.085278212,0,1,1
G1,89,0.907663758,0.09684829,0,1,1
G1,90,0.992871666,0.100537726,0,1,1
G1,91,1.279001408,0.115425891,0,1,1
G1,92,0.939439876,0.100956062,0,1,1
G1,93,0.364980419,0.081498205,4,1,2
G1,94,0.543467407,0.087811291,4,1,2
