id,ratio_EL2FC_2019-20,EL_count_2019-20,Teacher_count_2019-20,ratio_EL2FC_2020-21,EL_count_2020-21,Teacher_count_2020-21,ratio_EL2FC_2021-22,EL_count_2021-22,Teacher_count_2021-22
1894,30.5,61,2,32,64,2,32.5,65,2
1900,24,24,1,23,23,1,17,17,1
1901,41.1538,535,13,36.8,552,15,38.4667,577,15
1923,56.25,225,4,35.8,179,5,57,228,4
1924,138.6923,1803,13,145.9231,1897,13,175.0833,2101,12
1925,37.8,189,5,39.6,198,5,105.5,211,2
1926,33.8333,203,6,40,240,6,65.25,261,4
1928,31.5833,379,12,46.375,371,8,44.2222,398,9
1929,97.8333,587,6,43.6923,568,13,77.625,621,8
1930,29,145,5,27.8,139,5,38.25,153,4
1933,107,107,1,25.25,101,4,57,114,2
1935,34,170,5,43.25,173,4,36,180,5
1936,15.5,31,2,19,38,2,44,44,1
1944,14.3333,43,3,15.3333,46,3,15.75,63,4
1948,28.5,57,2,21.5,43,2,29,58,2
1970,24.5,98,4,31,93,3,37.3333,112,3
1972,2,2,1,2,2,1,2,2,1
1974,30,30,1,40,40,1,36,36,1
1976,32.9545,725,22,31.3182,689,22,30.4,760,25
1977,32.6364,359,11,34.1818,376,11,40.6364,447,11
1978,24,24,1,22,22,1,26,26,1
1991,45,45,1,49,49,1,52,52,1
2003,27,27,1,37,37,1,34,34,1
2024,75.2727,828,11,54.4667,817,15,73.5,882,12
2039,63.6,318,5,75.75,303,4,157.5,315,2
2041,18,54,3,14.6667,44,3,18,54,3
2042,28.4286,199,7,33.4286,234,7,25.7778,232,9
2043,206.5,413,2,54.125,433,8,77,462,6
2048,179.3333,1076,6,157.8571,1105,7,307.5,1230,4
2053,75.8889,683,9,86.8571,608,7,66.6667,600,9
2054,104,104,1,110,110,1,120,120,1
2057,43.375,347,8,41.75,334,8,112.6667,338,3
2083,52.2667,784,15,51.7143,724,14,45.5625,729,16
2084,14,14,1,16,16,1,14,14,1
2086,35,35,1,40,40,1,36,36,1
2087,63.5,127,2,60,120,2,44.6667,134,3
2088,53,318,6,54,324,6,93,372,4
2091,21.5,43,2,25.5,51,2,31,62,2
2096,22,22,1,21,21,1,23,23,1
2101,49.5,99,2,41,82,2,24.75,99,4
2105,10.5,21,2,8.5,17,2,10,20,2
2108,39.1429,274,7,78.3333,235,3,127.5,255,2
2110,178.5,357,2,176,352,2,170.5,341,2
2113,28,28,1,25,25,1,24,24,1
2137,31.5556,284,9,146.5,293,2,148,296,2
2138,31.4,157,5,52.3333,157,3,31.6667,190,6
2139,96,96,1,106,106,1,64.5,129,2
2140,32.5,65,2,72,72,1,36,72,2
2141,163.5,327,2,114,342,3,90,360,4
2142,186.125,7445,40,440.8235,7494,17,292.963,7910,27
2143,59.5,119,2,51.5,103,2,111,111,1
2144,17,34,2,15,30,2,15.5,31,2
2146,143.1429,2004,14,252,2016,8,281.625,2253,8
2147,504,504,1,87.5,525,6,113.8,569,5
2180,109.6842,4168,38,88.413,4067,46,133.9697,4421,33
2181,178,534,3,171.6667,515,3,297,594,2
2182,73.7805,3025,41,77.5128,3023,39,85.7778,3088,36
2183,157.7778,1420,9,279.6,1398,5,200.5,1604,8
2185,56.0833,1346,24,60.5,1331,22,66,1452,22
2186,27,27,1,20,20,1,26,26,1
2187,146.3333,2195,15,186.7273,2054,11,225.5,2255,10
2190,32,64,2,68,68,1,33.5,67,2
2191,497,497,1,178,534,3,605,605,1
2197,92,184,2,45.75,183,4,62.6667,188,3
2199,30,30,1,40,40,1,42,42,1
2204,88.6,443,5,220,440,2,72.1667,433,6
2205,69.3333,416,6,67.5,405,6,70.6667,424,6
2206,78.1333,1172,15,66.9375,1071,16,68.5882,1166,17
2207,51.5,103,2,56,112,2,63,126,2
2209,67,67,1,66,66,1,69,69,1
2214,13,13,1,11,11,1,17,17,1
2239,75.3125,3615,48,67.6111,3651,54,73.9038,3843,52
2241,87,1044,12,81.3846,1058,13,94,1128,12
2242,44.6552,1295,29,55.04,1376,25,51.2069,1485,29
2243,46.4831,5485,118,45.6949,5392,118,48.7083,5845,120
2244,132,132,1,156,156,1,166,166,1
2251,6.5,13,2,17,17,1,25,25,1
2253,117,117,1,128,128,1,143,143,1
2254,152,304,2,297,297,1,316,316,1
2256,86.8889,782,9,156,780,5,124.1429,869,7
2257,18,18,1,26,26,1,24,24,1
4131,55.7143,390,7,54.7143,383,7,74.3333,446,6
